fonte_original,fonte_classe,linhas,total_liquidado
"RECURSOS PRÓPRIOS, ROYALTIES DA UNIÃO E ROYALTIES DO ESTADO",petroleo,1,0.0
Royalties pelo excedente - LEI 9478/97,petroleo,1,0.0
ROYALTIES DA UNIÃO / 1705,petroleo,2,0.0
ROYALTIES - FUNDO ESPECIAL DO PETRÓLEO,petroleo,1,0.0
TRANSFERÊNCIA DA UNIÃOREFERENTE A ROYALTIES DO PETRÓLEO E GÁS NATURAL,petroleo,4,0.0
TRANSF AO SETOR CULTURAL,outros,3,0.0
TRANSFERÊNCIAS DE ROYALTIES,petroleo,24,0.0
TRANSFERÊNCIAS DA UNIÃO REFERENTES A COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS (EXERC.CORRENTE),petroleo,2,0.0
TRANSFERÊNCIAS DA UNIÃO REFERENTES ÀS PARTICIPAÇÕES NA EXPLORAÇÃO DE PETRÓLEO E GÁS NATURAL DESTINADAS AO FEP - LEI 9.478/1997,petroleo,1,0.0
TRECURSOS NÃO VINCULADOS DE IMPOSTOS (EXERC.CORRENTE),outros,5,0.0
TRANSFERÊNCIAS DOS ROYALTIES,petroleo,17,0.0
TRANSFERÊNCIAS DOS ROYALTEIS,petroleo,1,0.0
TRANSFERÊNCIAS DOS ESTADOS REFERENTES A COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS (EXERC.CORRENTE),petroleo,1,0.0
